todo_bot.py:149 #INFO     [2025-05-18 13:13:54,316] - __main__ -Starting bot
dispatcher.py:527 #INFO     [2025-05-18 13:13:54,577] - aiogram.dispatcher -Start polling
dispatcher.py:341 #INFO     [2025-05-18 13:13:54,630] - aiogram.dispatcher -Run polling for bot @valuxalobot id=6316297011 - 'Valya Kulakova Bot'
todo_bot.py:83 #INFO     [2025-05-18 13:13:54,732] - __main__ -/all
dispatcher.py:172 #INFO     [2025-05-18 13:13:55,019] - aiogram.event -Update id=657274477 is handled. Duration 288 ms by bot id=6316297011
todo_bot.py:83 #INFO     [2025-05-18 13:14:11,799] - __main__ -/all
dispatcher.py:172 #INFO     [2025-05-18 13:14:11,966] - aiogram.event -Update id=657274478 is handled. Duration 167 ms by bot id=6316297011
todo_bot.py:53 #INFO     [2025-05-18 13:14:16,673] - __main__ -/add ekwmk
dispatcher.py:172 #INFO     [2025-05-18 13:14:16,747] - aiogram.event -Update id=657274479 is handled. Duration 74 ms by bot id=6316297011
todo_bot.py:53 #INFO     [2025-05-18 13:14:19,257] - __main__ -/add rmglkmrk
dispatcher.py:172 #INFO     [2025-05-18 13:14:19,365] - aiogram.event -Update id=657274480 is handled. Duration 108 ms by bot id=6316297011
todo_bot.py:89 #INFO     [2025-05-18 13:14:23,784] - __main__ -/done 1
dispatcher.py:172 #INFO     [2025-05-18 13:14:23,883] - aiogram.event -Update id=657274481 is handled. Duration 99 ms by bot id=6316297011
todo_bot.py:89 #INFO     [2025-05-18 13:14:26,378] - __main__ -/done 2
dispatcher.py:172 #INFO     [2025-05-18 13:14:26,477] - aiogram.event -Update id=657274482 is handled. Duration 99 ms by bot id=6316297011
todo_bot.py:126 #INFO     [2025-05-18 13:14:30,827] - __main__ -Uknown text: `/all
dispatcher.py:172 #INFO     [2025-05-18 13:14:30,917] - aiogram.event -Update id=657274483 is handled. Duration 90 ms by bot id=6316297011
todo_bot.py:83 #INFO     [2025-05-18 13:14:33,350] - __main__ -/all
dispatcher.py:172 #INFO     [2025-05-18 13:14:33,474] - aiogram.event -Update id=657274484 is handled. Duration 123 ms by bot id=6316297011
todo_bot.py:119 #INFO     [2025-05-18 13:14:37,646] - __main__ -/clear
dispatcher.py:172 #INFO     [2025-05-18 13:14:37,762] - aiogram.event -Update id=657274485 is handled. Duration 116 ms by bot id=6316297011
todo_bot.py:83 #INFO     [2025-05-18 13:14:40,484] - __main__ -/all
dispatcher.py:172 #INFO     [2025-05-18 13:14:40,594] - aiogram.event -Update id=657274486 is handled. Duration 111 ms by bot id=6316297011
todo_bot.py:53 #INFO     [2025-05-18 13:14:43,666] - __main__ -/add fldldkg,
dispatcher.py:172 #INFO     [2025-05-18 13:14:43,779] - aiogram.event -Update id=657274487 is handled. Duration 113 ms by bot id=6316297011
todo_bot.py:53 #INFO     [2025-05-18 13:14:47,852] - __main__ -/add lr,flgrm;r
dispatcher.py:172 #INFO     [2025-05-18 13:14:48,062] - aiogram.event -Update id=657274488 is handled. Duration 210 ms by bot id=6316297011
todo_bot.py:83 #INFO     [2025-05-18 13:14:49,551] - __main__ -/all
dispatcher.py:172 #INFO     [2025-05-18 13:14:49,659] - aiogram.event -Update id=657274489 is handled. Duration 108 ms by bot id=6316297011
todo_bot.py:89 #INFO     [2025-05-18 13:14:52,935] - __main__ -/done 1
dispatcher.py:172 #INFO     [2025-05-18 13:14:53,022] - aiogram.event -Update id=657274490 is handled. Duration 88 ms by bot id=6316297011
todo_bot.py:83 #INFO     [2025-05-18 13:14:54,972] - __main__ -/all
dispatcher.py:172 #INFO     [2025-05-18 13:14:55,070] - aiogram.event -Update id=657274491 is handled. Duration 99 ms by bot id=6316297011
todo_bot.py:89 #INFO     [2025-05-18 13:15:05,645] - __main__ -/done 2
dispatcher.py:172 #INFO     [2025-05-18 13:15:05,763] - aiogram.event -Update id=657274492 is handled. Duration 119 ms by bot id=6316297011
todo_bot.py:83 #INFO     [2025-05-18 13:15:08,126] - __main__ -/all
dispatcher.py:172 #INFO     [2025-05-18 13:15:08,231] - aiogram.event -Update id=657274493 is handled. Duration 106 ms by bot id=6316297011
todo_bot.py:119 #INFO     [2025-05-18 13:15:14,933] - __main__ -/clear
dispatcher.py:172 #INFO     [2025-05-18 13:15:15,028] - aiogram.event -Update id=657274494 is handled. Duration 95 ms by bot id=6316297011
todo_bot.py:53 #INFO     [2025-05-18 13:15:19,844] - __main__ -/add dfmg
dispatcher.py:172 #INFO     [2025-05-18 13:15:19,939] - aiogram.event -Update id=657274495 is handled. Duration 95 ms by bot id=6316297011
todo_bot.py:83 #INFO     [2025-05-18 13:15:22,356] - __main__ -/all
dispatcher.py:172 #INFO     [2025-05-18 13:15:22,467] - aiogram.event -Update id=657274496 is handled. Duration 111 ms by bot id=6316297011
dispatcher.py:554 #INFO     [2025-05-18 13:15:25,425] - aiogram.dispatcher -Polling stopped
dispatcher.py:359 #INFO     [2025-05-18 13:15:25,687] - aiogram.dispatcher -Polling stopped for bot @valuxalobot id=6316297011 - 'Valya Kulakova Bot'
